                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.38399,                0.20978,                0.94883,                0.96521,                0.97708,                0.97948,                0.82371,                0.56101,                0.21578,                0.64937,               0.005149,               0.005149,               0.005149
                    100,                0.39517,                0.21161,                0.94733,                0.96593,                0.97564,                0.98241,                0.82452,                 0.5612,                   0.22,                0.64883,              0.0050995,              0.0050995,              0.0050995
                    101,                0.38184,                0.20514,                0.94719,                0.97217,                0.97564,                0.98414,                0.82717,                0.57368,                0.26649,                 0.6629,                0.00505,                0.00505,                0.00505
                    102,                 0.3787,                0.20532,                0.94923,                0.96962,                0.97421,                 0.9832,                0.82759,                0.57709,                 0.2737,                0.67011,              0.0050005,              0.0050005,              0.0050005
                    103,                0.38044,                0.20429,                0.95074,                 0.9709,                0.97291,                0.98257,                0.82681,                   0.58,                0.27241,                0.67393,               0.004951,               0.004951,               0.004951
                    104,                0.38543,                0.20616,                0.94716,                0.97024,                0.97421,                0.98236,                0.82474,                0.58615,                0.26935,                0.67854,              0.0049015,              0.0049015,              0.0049015
                    105,                 0.3874,                0.20672,                0.94876,                0.96976,                0.97637,                0.98182,                 0.8244,                0.58767,                0.27116,                 0.6807,               0.004852,               0.004852,               0.004852
                    106,                 0.3762,                0.20355,                0.94247,                0.97511,                0.97708,                0.98083,                0.82515,                0.58941,                0.27773,                0.68488,              0.0048025,              0.0048025,              0.0048025
                    107,                0.37548,                0.20093,                  0.946,                0.97489,                0.97159,                0.98401,                0.82427,                 0.5874,                0.28447,                0.68516,               0.004753,               0.004753,               0.004753
                    108,                0.37024,                0.19865,                0.93837,                0.96884,                0.97135,                0.98147,                0.82317,                0.57112,                0.26001,                0.66648,              0.0047035,              0.0047035,              0.0047035
                    109,                0.36532,                0.19783,                0.94063,                0.97885,                 0.9638,                0.98144,                0.82438,                0.57222,                0.24733,                0.66402,               0.004654,               0.004654,               0.004654
                    110,                0.37416,                0.19983,                0.94436,                0.97231,                0.96848,                0.98055,                0.82179,                0.57173,                0.24354,                0.66134,              0.0046045,              0.0046045,              0.0046045
                    111,                0.37226,                0.19621,                0.94492,                0.97209,                0.96991,                 0.9807,                0.82157,                0.57646,                0.24796,                0.66978,               0.004555,               0.004555,               0.004555
                    112,                0.37076,                0.19702,                0.94823,                0.96907,                0.96418,                 0.9789,                0.82035,                0.57244,                0.24642,                0.66616,              0.0045055,              0.0045055,              0.0045055
                    113,                 0.3652,                0.19417,                0.93975,                 0.9658,                0.97135,                0.98031,                 0.8238,                0.57259,                 0.2555,                 0.6652,               0.004456,               0.004456,               0.004456
                    114,                0.36196,                 0.1925,                0.94024,                0.96936,                0.96848,                0.98086,                0.82506,                0.57211,                0.24719,                0.66133,              0.0044065,              0.0044065,              0.0044065
                    115,                0.36312,                0.19502,                0.93733,                0.96295,                0.97498,                0.98064,                0.82601,                0.56662,                0.23525,                0.65165,               0.004357,               0.004357,               0.004357
                    116,                0.36254,                0.19216,                0.94121,                0.96655,                0.96705,                0.98137,                 0.8255,                0.56369,                 0.2227,                0.64788,              0.0043075,              0.0043075,              0.0043075
                    117,                0.35999,                0.19418,                0.94007,                0.97072,                0.96924,                0.98163,                0.82543,                0.56201,                0.22685,                0.64663,               0.004258,               0.004258,               0.004258
                    118,                    inf,                0.19525,                0.94515,                0.97343,                 0.9698,                0.98364,                0.82504,                0.56119,                0.23345,                 0.6472,              0.0042085,              0.0042085,              0.0042085
                    119,                0.36241,                0.19501,                0.94604,                0.96549,                0.97481,                0.98349,                0.82584,                 0.5596,                0.23133,                0.65073,               0.004159,               0.004159,               0.004159
